ethnicity	tissue	microID	location	link
AFR	Adipose Subcutaneous	27149	chr10:119146429	http://www.cagmdb.org/view_table.php?id=27149
AFR	Adipose Subcutaneous	29910	chr10:133402253	http://www.cagmdb.org/view_table.php?id=29910
AFR	Adipose Subcutaneous	31461	chr11:7672623	http://www.cagmdb.org/view_table.php?id=31461
AFR	Adipose Subcutaneous	43870	chr11:70331779	http://www.cagmdb.org/view_table.php?id=43870
AFR	Adipose Subcutaneous	52377	chr11:111809518	http://www.cagmdb.org/view_table.php?id=52377
AFR	Adipose Subcutaneous	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Adipose Subcutaneous	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Adipose Subcutaneous	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Adipose Subcutaneous	55269	chr11:124751122	http://www.cagmdb.org/view_table.php?id=55269
AFR	Adipose Subcutaneous	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Adipose Subcutaneous	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Adipose Subcutaneous	93594	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
AFR	Adipose Subcutaneous	143099	chr16:793085	http://www.cagmdb.org/view_table.php?id=143099
AFR	Adipose Subcutaneous	143363	chr16:1999882	http://www.cagmdb.org/view_table.php?id=143363
AFR	Adipose Subcutaneous	163504	chr17:4891201	http://www.cagmdb.org/view_table.php?id=163504
AFR	Adipose Subcutaneous	166745	chr17:18208489	http://www.cagmdb.org/view_table.php?id=166745
AFR	Adipose Subcutaneous	175503	chr17:56985104	http://www.cagmdb.org/view_table.php?id=175503
AFR	Adipose Subcutaneous	181070	chr17:78802467	http://www.cagmdb.org/view_table.php?id=181070
AFR	Adipose Subcutaneous	190278	chr18:41962443	http://www.cagmdb.org/view_table.php?id=190278
AFR	Adipose Subcutaneous	199936	chr19:4817277	http://www.cagmdb.org/view_table.php?id=199936
AFR	Adipose Subcutaneous	204469	chr19:17786362	http://www.cagmdb.org/view_table.php?id=204469
AFR	Adipose Subcutaneous	210688	chr19:45409232	http://www.cagmdb.org/view_table.php?id=210688
AFR	Adipose Subcutaneous	263953	chr20:3045700	http://www.cagmdb.org/view_table.php?id=263953
AFR	Adipose Subcutaneous	277125	chr20:62329366	http://www.cagmdb.org/view_table.php?id=277125
AFR	Adipose Subcutaneous	285929	chr21:46302072	http://www.cagmdb.org/view_table.php?id=285929
AFR	Adipose Subcutaneous	285986	chr21:46599781	http://www.cagmdb.org/view_table.php?id=285986
AFR	Adipose Subcutaneous	295544	chr2:1137503	http://www.cagmdb.org/view_table.php?id=295544
