tissue	EBML	response	location	link
Adipose_Subcutaneous	NO	0.796307957652799	chr1:45485179	http://www.cagmdb.org/view_table.php?id=225270
Adipose_Subcutaneous	NO	0.755958349328201	chr11:74999136	http://www.cagmdb.org/view_table.php?id=44881
Adipose_Subcutaneous	NO	0.735662888275557	chr11:43772024	http://www.cagmdb.org/view_table.php?id=39029
Adipose_Subcutaneous	NO	0.707361963393497	chr6:42958740	http://www.cagmdb.org/view_table.php?id=470887
Adipose_Subcutaneous	NO	0.70014216871101	chr1:16207336	http://www.cagmdb.org/view_table.php?id=218112
Adipose_Subcutaneous	NO	0.672659282640866	chr3:48949114	http://www.cagmdb.org/view_table.php?id=355635
Adipose_Subcutaneous	YES	0.645525209546151	chr9:37422524	http://www.cagmdb.org/view_table.php?id=568326
Adipose_Subcutaneous	NO	0.632224709356213	chr7:6438864	http://www.cagmdb.org/view_table.php?id=498428
Adipose_Subcutaneous	NO	0.610075253662473	chr6:37694666	http://www.cagmdb.org/view_table.php?id=469694
Adipose_Subcutaneous	NO	0.608013917362193	chr8:142809029	http://www.cagmdb.org/view_table.php?id=560227
Adipose_Subcutaneous	NO	0.606945249786799	chr2:112291241	http://www.cagmdb.org/view_table.php?id=318585
Adipose_Subcutaneous	NO	0.604083684227237	chr2:113226670	http://www.cagmdb.org/view_table.php?id=318796
Adipose_Subcutaneous	NO	0.601940505663556	chr2:108440556	http://www.cagmdb.org/view_table.php?id=317803
Adipose_Subcutaneous	YES	0.600687555443194	chr4:2988577	http://www.cagmdb.org/view_table.php?id=386355
Adipose_Subcutaneous	NO	0.598007084572104	chr7:101249889	http://www.cagmdb.org/view_table.php?id=518076
Adipose_Subcutaneous	NO	0.584419429961741	chr3:49320448	http://www.cagmdb.org/view_table.php?id=355718
Adipose_Subcutaneous	NO	0.571747177743153	chr3:50066832	http://www.cagmdb.org/view_table.php?id=355902
Adipose_Subcutaneous	NO	0.570916623078638	chr11:94512945	http://www.cagmdb.org/view_table.php?id=48879
Adipose_Subcutaneous	NO	0.570122146130553	chr1:226070773	http://www.cagmdb.org/view_table.php?id=258088
Adipose_Subcutaneous	NO	0.566915807052658	chr2:47416608	http://www.cagmdb.org/view_table.php?id=305530
Adipose_Subcutaneous	NO	0.566685299868957	chr8:119861486	http://www.cagmdb.org/view_table.php?id=555339
Adipose_Subcutaneous	NO	0.564411236766718	chr6:153008330	http://www.cagmdb.org/view_table.php?id=493092
Adipose_Subcutaneous	NO	0.561994072027501	chr21:29071990	http://www.cagmdb.org/view_table.php?id=282011
Adipose_Subcutaneous	NO	0.561987426669559	chr15:64983272	http://www.cagmdb.org/view_table.php?id=134862
Adipose_Subcutaneous	NO	0.560436807884316	chr12:52231555	http://www.cagmdb.org/view_table.php?id=67739
Adipose_Subcutaneous	NO	0.557806825845973	chr19:46480551	http://www.cagmdb.org/view_table.php?id=211056
Adipose_Subcutaneous	NO	0.551254373770268	chr2:19942549	http://www.cagmdb.org/view_table.php?id=299563
Adipose_Subcutaneous	NO	0.548857760900522	chr11:8693716	http://www.cagmdb.org/view_table.php?id=31649
Adipose_Subcutaneous	NO	0.531262779229871	chr3:48220226	http://www.cagmdb.org/view_table.php?id=355453
Adipose_Subcutaneous	NO	0.527343848219098	chr3:48246303	http://www.cagmdb.org/view_table.php?id=355458
Adipose_Subcutaneous	NO	0.527218497998012	chr17:18869790	http://www.cagmdb.org/view_table.php?id=166872
Adipose_Subcutaneous	YES	0.523164132581062	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
Adipose_Subcutaneous	NO	0.520303466266636	chr11:113338070	http://www.cagmdb.org/view_table.php?id=52706
Adipose_Subcutaneous	YES	0.516722460431174	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
Adipose_Subcutaneous	YES	0.51024171203361	chr10:119146429	http://www.cagmdb.org/view_table.php?id=27149
Adipose_Subcutaneous	NO	0.509532156390844	chr17:76671394	http://www.cagmdb.org/view_table.php?id=180554
Adipose_Subcutaneous	NO	0.506957298956752	chr6:26408245	http://www.cagmdb.org/view_table.php?id=467121
Adipose_Subcutaneous	NO	0.506611686430782	chr3:134485992	http://www.cagmdb.org/view_table.php?id=372339
Adipose_Subcutaneous	NO	0.504930757078185	chr2:55022897	http://www.cagmdb.org/view_table.php?id=307156
Adipose_Subcutaneous	NO	0.504894655316361	chr1:205821582	http://www.cagmdb.org/view_table.php?id=253950
Adipose_Subcutaneous	NO	0.50112357163243	chr10:120889239	http://www.cagmdb.org/view_table.php?id=27509
Adipose_Subcutaneous	NO	0.500728244163345	chr17:50544883	http://www.cagmdb.org/view_table.php?id=174139
Adipose_Subcutaneous	NO	0.499306518067155	chr3:123227224	http://www.cagmdb.org/view_table.php?id=370210
Adipose_Subcutaneous	NO	0.497698851502382	chr15:78620726	http://www.cagmdb.org/view_table.php?id=137780
Adipose_Subcutaneous	NO	0.496355290724852	chr8:31172140	http://www.cagmdb.org/view_table.php?id=537188
Adipose_Subcutaneous	NO	0.494589776013694	chr12:123687657	http://www.cagmdb.org/view_table.php?id=84293
Adipose_Subcutaneous	NO	0.494160039568363	chr10:129599974	http://www.cagmdb.org/view_table.php?id=29247
Adipose_Subcutaneous	NO	0.493693309572531	chr19:51626896	http://www.cagmdb.org/view_table.php?id=212640
Adipose_Subcutaneous	NO	0.493656335092497	chr16:53477058	http://www.cagmdb.org/view_table.php?id=153368
Adipose_Subcutaneous	NO	0.490258346600232	chr7:128435203	http://www.cagmdb.org/view_table.php?id=523748
Adipose_Subcutaneous	NO	0.488085694591473	chr2:27017804	http://www.cagmdb.org/view_table.php?id=301078
Adipose_Subcutaneous	NO	0.487473063457265	chr4:103116252	http://www.cagmdb.org/view_table.php?id=407226
Adipose_Subcutaneous	NO	0.485349453649598	chr16:77763840	http://www.cagmdb.org/view_table.php?id=159282
